"Term","Term Two","Definition","Closest MeSH term","Synonym 1","Synonym 2","Synonym 3","Abbreviation","UK Spelling","US Spelling","Noun Form of Word","Verb Form of Word","Adjective Form of Word","Adverb Form of Word","Commonly Associated Term 1","Commonly Associated Term 2","Commonly Associated Term 3","Commonly Associated Term 4","Commonly Associated Term 5","Commonly Associated Term 6","Commonly Associated Term 7","Commonly Associated Term 8","source","source_priority","sources_contributing","date_added"
"Oral pontine reticular nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Abducens nerve","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Lumbar spinal cord lateral horn","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Cytoarchitectural part of the cerebellar cortex","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Lemniscus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Reticulotegmental nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Lumbar spinal cord dorsal horn","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Regional part of thoracic spinal cord white matter","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Medial lemniscus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Superior central nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Vestibulocochlear nerve","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Lumbar spinal cord ventral horn","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Segment part of thoracic spinal cord","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Dorsal longitudinal fasciculus of midbrain","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Dorsal nucleus of lateral lemniscus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Habenulo-interpeduncular tract of midbrain","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Nucleus of Darkschewitsch","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Lateral parabrachial nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Dorsal longitudinal fasciculus of hypothalamus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Glossopharyngeal nerve","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Superior olive","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Dorsal tegmental decussation","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Lateral pes lemniscus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Facial motor nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Flocculonodular lobe","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Locus ceruleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Intermediate part of hypophysis","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Alar central lobule","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Medial forebrain bundle","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"posterior lobe of the cerebellum","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Tuberal part of hypophysis","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Anterior quadrangular lobule","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Postcommissural fornix","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Substantia innominata","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Accessory nerve fiber bundle","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Parvicellular part of ventral posteromedial nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Oral part of ventral posterolateral nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Subcallosal area","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Central lobule","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Regional part of neurohypophysis","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Lobe of cerebral cortex","","Divisions of the cerebral cortex from gross anatomical observation based on the locations of major sulci and fissures in gyrencephalic animals, including both the gray matter and underlying white matter. From 4-6 lobes have been defined.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
